interaction_id,user_id,place_id,liked,visited,rating
1,686,64,True,True,3.9
2,837,142,False,False,2.1
3,976,37,False,False,1.2
4,873,50,False,False,1.9
5,309,91,True,False,3.7
6,252,92,True,True,4.9
7,934,93,True,False,4.7
8,926,73,False,False,1.4
9,508,5,True,True,4.6
10,438,77,False,False,2.2
11,65,131,False,False,2.5
12,573,12,False,False,1.9
13,388,58,True,True,3.5
14,527,114,False,False,1.5
15,652,137,False,False,1.8
16,605,1,True,True,3.8
17,687,124,True,False,4.4
18,990,64,True,False,4.0
19,206,93,True,False,4.9
20,110,21,True,False,3.7
21,10,142,True,False,3.6
22,857,114,False,False,1.1
23,797,80,True,True,4.5
24,663,32,True,True,4.2
25,28,114,False,False,2.5
26,724,93,False,False,2.6
27,424,126,True,True,4.7
28,60,94,True,True,3.7
29,785,136,True,True,3.9
30,563,76,True,False,3.9
31,60,28,True,True,4.9
32,760,149,True,False,4.9
33,402,135,True,True,4.6
34,80,39,True,True,5.0
35,583,137,True,True,3.8
36,987,73,True,False,4.0
37,635,58,True,False,3.6
38,264,50,True,True,4.4
39,261,30,False,False,1.4
40,139,130,True,True,4.1
41,547,34,True,True,4.5
42,958,31,False,False,1.4
43,142,93,True,False,4.5
44,960,72,True,True,3.5
45,323,84,False,False,1.3
46,908,4,True,True,4.0
47,929,81,True,False,4.4
48,209,84,False,False,2.6
49,82,81,True,False,3.6
50,790,95,True,True,4.5
51,77,97,True,True,5.0
52,649,148,False,False,1.4
53,984,13,True,True,4.2
54,717,150,False,False,1.1
55,398,45,True,True,3.9
56,69,121,False,False,2.1
57,449,114,True,True,4.5
58,421,28,True,True,3.5
59,566,110,False,False,2.5
60,508,2,True,True,4.5
61,636,69,True,True,4.2
62,849,141,True,True,4.5
63,627,8,True,False,3.8
64,913,127,False,False,3.3
65,473,2,True,False,3.6
66,787,48,True,False,4.6
67,860,98,False,False,1.5
68,837,12,True,False,4.6
69,272,100,True,False,4.8
70,192,112,True,True,4.5
71,478,103,True,True,3.6
72,901,144,True,True,4.3
73,694,50,False,False,2.8
74,212,20,True,True,4.8
75,44,117,True,False,4.9
76,49,91,False,False,3.3
77,45,126,True,True,4.6
78,521,27,True,False,4.6
79,742,141,True,True,3.9
80,476,25,True,False,4.5
81,352,125,True,True,3.7
82,572,81,True,True,4.5
83,32,146,False,False,3.0
84,749,129,False,False,2.9
85,788,2,True,False,3.8
86,975,6,True,True,4.8
87,619,17,True,True,4.7
88,843,135,False,False,2.8
89,578,16,True,False,4.7
90,865,125,True,False,4.1
91,515,149,False,False,1.0
92,742,91,True,False,4.8
93,660,17,True,False,4.9
94,728,12,True,False,3.8
95,293,54,True,True,4.1
96,470,101,False,False,1.6
97,5,39,True,True,3.7
98,359,132,True,False,4.4
99,632,92,True,True,4.7
100,452,31,True,True,3.6
101,660,73,True,True,3.6
102,570,28,True,True,4.0
103,238,72,True,True,5.0
104,754,136,False,False,2.1
105,152,105,True,False,4.0
106,108,105,True,True,4.9
107,404,5,False,False,2.1
108,615,32,False,False,1.5
109,73,147,False,False,1.4
110,345,51,True,True,4.5
111,14,95,True,True,4.6
112,286,2,True,False,4.6
113,302,84,True,True,3.6
114,518,62,False,False,2.3
115,784,132,True,True,4.1
116,519,45,True,True,4.5
117,976,6,True,True,4.6
118,221,75,True,True,4.7
119,762,106,True,False,4.2
120,469,28,True,True,4.3
121,319,134,True,False,4.3
122,560,52,True,False,4.7
123,177,103,True,True,4.3
124,353,53,True,True,4.3
125,62,111,True,False,4.0
126,932,67,False,False,2.2
127,728,77,True,False,3.8
128,570,147,False,False,3.0
129,391,51,True,True,3.6
130,823,99,False,False,2.2
131,630,33,True,False,3.7
132,31,64,True,True,4.0
133,922,128,True,True,4.0
134,88,148,True,True,3.8
135,782,142,True,False,3.7
136,225,146,True,True,4.0
137,792,30,False,False,1.4
138,794,128,False,False,3.1
139,433,140,True,True,4.8
140,417,59,True,True,4.3
141,435,117,True,True,4.4
142,194,82,True,False,4.2
143,12,85,True,False,4.6
144,102,69,True,True,4.1
145,920,46,False,False,3.0
146,292,94,True,True,3.8
147,201,78,True,True,4.2
148,435,25,True,True,3.8
149,632,65,True,True,4.2
150,615,139,False,False,1.8
151,362,36,False,False,3.0
152,209,82,False,False,1.4
153,870,14,True,False,4.3
154,583,54,False,False,2.2
155,380,9,True,True,4.2
156,356,54,True,True,3.7
157,166,65,True,True,3.8
158,457,13,True,True,3.8
159,310,148,True,True,3.8
160,474,96,False,False,1.1
161,958,70,True,True,4.4
162,369,81,True,True,3.9
163,499,131,False,False,2.4
164,20,134,True,False,3.9
165,991,59,True,False,4.8
166,268,19,False,False,2.4
167,217,115,False,False,1.6
168,331,11,True,True,3.8
169,184,82,True,True,4.8
170,161,3,True,True,3.6
171,118,47,False,False,1.1
172,47,137,True,True,3.7
173,472,145,True,True,3.6
174,388,45,True,False,4.7
175,132,128,True,False,4.6
176,6,121,True,True,4.2
177,206,4,False,False,1.7
178,94,4,True,False,4.7
179,220,81,True,False,4.5
180,803,74,True,True,4.5
181,945,99,False,False,2.0
182,433,78,True,False,4.6
183,37,119,False,False,2.2
184,309,6,False,False,1.6
185,283,117,True,False,4.6
186,708,90,True,True,4.5
187,519,125,True,True,4.0
188,271,21,False,False,2.7
189,926,14,False,False,1.0
190,57,75,True,False,4.2
191,338,74,True,True,3.6
192,656,87,True,False,4.4
193,50,11,True,False,4.7
194,393,32,True,True,4.3
195,375,41,True,True,3.9
196,676,98,True,False,4.7
197,563,21,True,True,4.6
198,938,146,True,True,4.7
199,4,109,False,False,1.7
200,925,86,True,False,4.4
201,409,32,True,True,3.6
202,179,119,False,False,2.9
203,584,143,True,False,4.3
204,769,55,True,True,3.5
205,703,22,True,True,5.0
206,204,135,True,True,4.9
207,110,128,True,False,3.9
208,579,48,False,False,3.0
209,192,36,False,False,2.1
210,429,21,True,True,4.9
211,333,132,True,False,4.8
212,939,131,True,True,4.4
213,810,63,True,False,4.5
214,720,95,True,False,4.3
215,260,110,True,True,4.2
216,712,47,True,True,5.0
217,9,30,True,True,3.6
218,610,97,True,True,4.1
219,61,84,True,False,4.5
220,60,37,True,True,3.8
221,991,95,True,True,3.9
222,585,66,False,False,2.5
223,670,121,True,True,4.6
224,768,124,False,False,1.7
225,16,87,True,True,3.8
226,7,136,True,True,4.1
227,458,25,True,False,3.7
228,961,75,True,False,4.8
229,771,117,True,True,4.1
230,207,84,True,False,4.2
231,146,86,True,True,4.3
232,254,136,True,True,4.8
233,494,77,True,True,3.8
234,274,88,True,False,4.2
235,742,136,True,True,3.7
236,182,145,False,False,1.8
237,246,146,True,True,4.0
238,825,70,True,True,3.9
239,776,54,False,False,1.9
240,835,68,False,False,2.0
241,27,84,True,False,4.5
242,101,95,True,True,3.7
243,98,145,True,True,3.5
244,762,64,False,False,1.2
245,870,142,True,False,4.8
246,4,28,True,True,4.4
247,4,113,False,False,1.1
248,417,43,True,True,4.2
249,1,58,True,True,5.0
250,737,106,True,True,4.5
251,55,61,True,True,4.0
252,371,3,True,True,4.0
253,473,20,True,False,4.0
254,771,140,True,False,4.9
255,650,52,True,True,3.9
256,221,68,True,True,4.1
257,928,134,True,True,4.6
258,777,144,True,True,4.1
259,784,90,True,False,4.7
260,43,37,False,False,2.9
261,596,38,False,False,1.4
262,767,111,True,True,3.9
263,755,5,True,True,3.6
264,246,43,True,True,3.9
265,894,101,True,True,4.0
266,429,66,False,False,3.4
267,640,57,False,False,1.8
268,867,53,False,False,1.2
269,728,111,True,False,4.7
270,169,101,False,False,1.6
271,78,118,True,True,4.2
272,888,31,False,False,2.1
273,154,4,True,True,3.6
274,363,50,True,True,3.8
275,970,131,True,True,4.0
276,694,6,True,True,4.7
277,461,49,True,False,4.2
278,818,118,True,True,3.7
279,933,67,False,False,3.2
280,519,102,True,True,4.6
281,220,44,True,False,4.7
282,303,16,True,False,4.0
283,19,11,False,False,2.2
284,994,36,True,False,3.8
285,429,48,True,False,3.9
286,770,132,True,True,3.6
287,478,15,True,True,4.1
288,610,140,False,False,1.9
289,665,71,True,False,4.7
290,826,2,False,False,2.6
291,409,97,True,True,4.3
292,66,125,True,True,3.7
293,970,12,True,False,3.7
294,537,65,True,True,4.4
295,431,113,True,True,4.0
296,460,26,True,False,3.8
297,297,1,False,False,1.2
298,452,45,True,False,4.1
299,82,41,True,False,3.9
300,724,124,True,True,4.9
301,810,73,True,True,3.8
302,669,149,False,False,1.4
303,298,6,True,True,4.5
304,870,139,True,False,4.8
305,212,39,True,True,4.0
306,142,76,False,False,2.1
307,966,80,True,False,4.0
308,737,130,True,True,4.6
309,988,14,True,True,4.6
310,975,127,False,False,2.1
311,817,150,True,False,4.4
312,967,123,False,False,1.7
313,489,54,True,False,3.5
314,487,83,True,True,4.3
315,88,60,True,True,3.7
316,113,65,True,True,4.7
317,731,64,True,False,4.6
318,337,55,True,True,4.7
319,57,64,False,False,2.4
320,695,21,True,True,3.6
321,773,108,True,True,4.7
322,415,34,False,False,3.1
323,408,25,True,True,3.5
324,153,114,True,True,4.3
325,668,98,True,True,3.6
326,513,47,True,True,4.3
327,85,43,True,True,3.7
328,281,85,False,False,1.1
329,167,11,True,True,4.7
330,258,42,True,True,4.2
331,105,67,True,False,3.9
332,953,103,False,False,1.8
333,167,26,False,False,2.0
334,766,143,True,True,3.5
335,864,119,False,False,2.5
336,898,70,True,True,4.7
337,35,91,True,False,4.8
338,324,141,True,False,4.9
339,67,90,True,True,4.2
340,27,68,True,True,3.8
341,985,17,False,False,2.8
342,537,34,True,True,4.4
343,86,19,True,True,3.9
344,46,119,True,False,3.5
345,601,91,True,False,4.5
346,525,41,False,False,2.6
347,644,143,True,False,3.6
348,59,8,True,True,3.8
349,297,6,True,True,3.9
350,307,50,True,True,3.7
351,80,110,True,True,3.9
352,731,65,False,False,2.5
353,866,118,True,True,3.7
354,397,2,True,True,4.9
355,802,37,True,True,3.7
356,239,27,False,False,1.5
357,73,5,True,False,4.8
358,550,123,False,False,2.3
359,488,87,True,False,3.7
360,276,126,True,False,3.7
361,492,6,False,False,2.7
362,462,90,True,True,4.9
363,215,3,False,False,1.3
364,475,138,False,False,2.5
365,397,38,True,True,3.8
366,776,56,True,False,4.2
367,205,137,True,False,4.2
368,565,61,True,True,4.6
369,668,103,True,True,4.6
370,231,148,True,False,5.0
371,812,30,True,True,3.9
372,112,127,True,False,4.1
373,319,62,True,False,4.4
374,739,30,True,False,4.3
375,312,141,True,True,5.0
376,998,49,True,False,4.3
377,21,98,True,True,3.9
378,350,73,True,False,4.2
379,290,108,True,True,4.3
380,778,10,True,True,4.6
381,861,88,False,False,3.3
382,753,11,True,True,3.8
383,261,58,True,True,4.5
384,996,87,True,True,4.0
385,859,143,True,False,4.3
386,242,89,True,False,4.9
387,410,23,True,False,3.8
388,707,107,True,True,4.7
389,864,122,True,True,3.7
390,531,40,True,True,4.2
391,74,44,False,False,1.6
392,792,73,True,True,4.4
